brind,startT,endT,commTime,commStart,commEnd
1063,,,2008-04-08 11:54:43,,
1063,,,,2008-04-08 12:33:20,2008-04-08 12:34:32
1063,,,2008-04-08 12:50:26,,
1063,,,,2008-04-08 13:35:50,2008-04-08 13:35:57
1092,2008-03-31 08:11:43,2008-03-31 10:50:48,,,
1092,,,2008-03-31 08:11:43,,
1092,,,2008-03-31 09:07:27,,
1092,,,2008-03-31 09:31:51,,
1092,,,,2008-03-31 09:33:33,2008-03-31 09:33:37
1092,,,2008-03-31 10:18:12,,
1092,,,2008-03-31 10:19:29,,
1092,,,,2008-03-31 10:50:43,2008-03-31 10:50:48
1079,2008-04-08 08:22:37,2008-04-08 08:25:52,,,
1079,,,2008-04-08 08:22:37,,
1079,2008-04-08 08:25:52,2008-04-08 08:44:11,,,
1079,,,2008-04-08 08:25:52,,
1079,2008-04-08 08:44:11,2008-04-08 09:15:04,,,
1079,,,2008-04-08 08:44:11,,
1079,2008-04-08 09:15:04,2008-04-08 09:22:05,,,
1079,,,2008-04-08 09:15:04,,
1079,,,2008-04-08 09:22:05,,
1028,2008-04-08 10:24:00,2008-04-08 12:30:30,,,
1028,,,2008-04-08 10:24:00,,
1028,,,,2008-04-08 10:47:25,2008-04-08 10:48:23
1028,,,2008-04-08 10:58:22,,
1028,,,2008-04-08 11:12:20,,
1028,,,,2008-04-08 11:45:52,2008-04-08 11:47:51
1028,,,2008-04-08 12:03:12,,
1028,,,,2008-04-08 12:29:24,2008-04-08 12:30:30
1137,2008-04-08 12:36:02,2008-04-08 14:09:11,,,
1137,,,2008-04-08 12:36:02,,
1137,,,,2008-04-08 13:08:22,2008-04-08 13:11:52
1137,,,,2008-04-08 14:06:36,2008-04-08 14:09:11
1047,2008-04-08 14:46:08,2008-04-08 14:51:20,,,
1047,,,2008-04-08 14:46:08,,
1047,,,2008-04-08 14:51:20,,
1045,2008-04-08 14:52:17,2008-04-08 15:06:38,,,
1045,,,2008-04-08 14:52:17,,
1045,,,2008-04-08 15:06:38,,
1115,2008-04-08 15:06:25,2008-04-08 16:02:18,,,
1115,,,2008-04-08 15:06:25,,
1115,,,2008-04-08 16:02:18,,
1172,2008-03-31 08:15:22,2008-03-31 10:47:04,,,
1172,,,2008-03-31 08:15:22,,
1172,,,,2008-03-31 09:27:10,2008-03-31 09:31:21
1172,,,,2008-03-31 10:16:44,2008-03-31 10:17:43
1172,,,2008-03-31 10:41:44,,
1172,,,,2008-03-31 10:47:02,2008-03-31 10:47:04
1152,2008-03-31 10:51:03,2008-03-31 12:20:19,,,
1152,,,2008-03-31 10:51:03,,
1152,,,2008-03-31 11:33:11,,
1152,,,,2008-03-31 12:09:36,2008-03-31 12:20:19
1080,2008-04-08 08:22:44,2008-04-08 08:25:59,,,
1080,,,2008-04-08 08:22:44,,
1080,2008-04-08 08:25:59,2008-04-08 09:46:44,,,
1080,,,2008-04-08 08:25:59,,
1080,,,2008-04-08 08:56:16,,
1080,,,,2008-04-08 09:09:18,2008-04-08 09:17:32
1080,,,,2008-04-08 09:46:35,2008-04-08 09:46:44
1081,2008-04-08 08:26:06,2008-04-08 09:44:37,,,
1081,,,2008-04-08 08:26:06,,
1081,,,,2008-04-08 08:52:54,2008-04-08 08:53:10
1081,,,,2008-04-08 09:44:20,2008-04-08 09:44:37
1233,2008-04-08 10:01:41,2008-04-08 11:30:38,,,
1233,,,2008-04-08 10:01:41,,
1233,,,,2008-04-08 10:43:30,2008-04-08 10:44:10
1233,,,,2008-04-08 11:30:30,2008-04-08 11:30:38
1065,2008-04-08 11:30:52,2008-04-08 11:43:20,,,
1065,,,2008-04-08 11:30:52,,
1065,,,,2008-04-08 11:43:19,2008-04-08 11:43:20
1068,2008-04-08 11:44:46,2008-04-08 14:13:14,,,
1068,,,2008-04-08 11:44:46,,
1068,,,2008-04-08 12:17:47,,
1068,,,,2008-04-08 12:38:57,2008-04-08 12:39:29
1068,,,,2008-04-08 12:58:00,2008-04-08 12:58:49
1068,,,2008-04-08 13:16:38,,
1068,,,,2008-04-08 14:10:32,2008-04-08 14:13:14
1012,2008-04-08 14:15:41,2008-04-08 16:10:13,,,
1012,,,2008-04-08 14:15:41,,
1012,,,,2008-04-08 14:55:53,2008-04-08 14:57:09
