brind,startT,endT,stayDuration,commDuration
1224,2008-04-08 14:37:49.980,2008-04-08 14:39:59.970,,00:02:09.990000
1224,2008-04-08 14:51:48.990,2008-04-08 14:52:00.990,,00:00:12
1224,2008-04-08 14:59:30.000,2008-04-08 15:00:46.980,,00:01:16.980000
1224,2008-04-08 15:01:14.010,2008-04-08 15:03:39.990,,00:02:25.980000
1224,2008-04-08 15:03:50.010,2008-04-08 15:04:06.990,,00:00:16.980000
1224,2008-04-08 15:06:23.970,2008-04-08 15:06:54.000,,00:00:30.030000
1224,2008-04-08 15:27:07.980,2008-04-08 15:28:34.980,,00:01:27
1224,2008-04-08 15:45:10.020,2008-04-08 15:47:26.010,,00:02:15.990000
1224,2008-04-08 15:56:20.970,2008-04-08 16:01:40.950,,00:05:19.980000
1087,2008-04-08 08:23:30.360,2008-04-08 09:46:50.190,01:23:19.830000,
1087,2008-04-08 08:53:06.990,2008-04-08 08:53:23.970,,00:00:16.980000
1087,2008-04-08 08:53:39.000,2008-04-08 08:55:38.010,,00:01:59.010000
1087,2008-04-08 09:00:06.930,2008-04-08 09:02:17.970,,00:02:11.040000
1087,2008-04-08 09:45:26.970,2008-04-08 09:46:29.010,,00:01:02.040000
1040,2008-04-08 10:31:46.020,2008-04-08 11:59:06.990,01:27:20.970000,
1040,2008-04-08 10:31:13.980,2008-04-08 10:31:36.990,,00:00:23.010000
1040,2008-04-08 11:35:13.980,2008-04-08 11:35:53.010,,00:00:39.030000
1040,2008-04-08 11:36:03.000,2008-04-08 11:36:22.980,,00:00:19.980000
1040,2008-04-08 11:37:51.000,2008-04-08 11:38:10.980,,00:00:19.980000
1040,2008-04-08 11:55:35.970,2008-04-08 11:58:07.980,,00:02:32.010000
1069,2008-04-08 12:00:47.970,2008-04-08 13:27:23.460,01:26:35.490000,
1069,2008-04-08 12:30:49.980,2008-04-08 12:31:44.970,,00:00:54.990000
1069,2008-04-08 12:33:55.980,2008-04-08 12:34:47.970,,00:00:51.990000
1069,2008-04-08 13:24:55.980,2008-04-08 13:26:03.990,,00:01:08.010000
1069,2008-04-08 13:26:46.980,2008-04-08 13:26:57.870,,00:00:10.890000
1218,2008-04-08 13:31:03.990,2008-04-08 14:56:29.970,01:25:25.980000,
1218,2008-04-08 13:30:50.010,2008-04-08 13:31:03.150,,00:00:13.140000
1218,2008-04-08 14:13:01.980,2008-04-08 14:14:58.980,,00:01:57
1218,2008-04-08 14:54:14.010,2008-04-08 14:54:32.970,,00:00:18.960000
1218,2008-04-08 14:54:46.980,2008-04-08 14:55:50.970,,00:01:03.990000
1042,2008-04-08 15:13:36.000,2008-04-08 16:11:40.980,00:58:04.980000,
1042,2008-04-08 15:13:21.990,2008-04-08 15:13:52.980,,00:00:30.990000
1042,2008-04-08 15:42:02.970,2008-04-08 15:43:51.000,,00:01:48.030000
1042,2008-04-08 15:44:46.980,2008-04-08 15:45:10.020,,00:00:23.040000
